,feature,importance_gain,importance_split,trn_score,run
28,REGION_RATING_CLIENT,290.6426386833191,32,0.6980939144994778,6
29,REGION_RATING_CLIENT_W_CITY,283.34463012218475,37,0.6980939144994778,6
30,WEEKDAY_APPR_PROCESS_START,1448.2356328964233,153,0.6980939144994778,6
31,HOUR_APPR_PROCESS_START,3876.152323782444,372,0.6980939144994778,6
32,REG_REGION_NOT_LIVE_REGION,65.85404062271118,7,0.6980939144994778,6
33,REG_REGION_NOT_WORK_REGION,128.47283029556274,13,0.6980939144994778,6
34,LIVE_REGION_NOT_WORK_REGION,142.00117015838623,15,0.6980939144994778,6
35,REG_CITY_NOT_LIVE_CITY,355.91645860671997,35,0.6980939144994778,6
36,REG_CITY_NOT_WORK_CITY,614.9352015256882,65,0.6980939144994778,6
37,LIVE_CITY_NOT_WORK_CITY,228.76195192337036,29,0.6980939144994778,6
38,ORGANIZATION_TYPE,12278.639964342117,924,0.6980939144994778,6
39,EXT_SOURCE_1,7479.775598049164,715,0.6980939144994778,6
40,EXT_SOURCE_2,9094.118580013514,875,0.6980939144994778,6
41,EXT_SOURCE_3,11560.148557394743,1067,0.6980939144994778,6
42,APARTMENTS_AVG,3717.9314370453358,351,0.6980939144994778,6
43,BASEMENTAREA_AVG,4947.8071121275425,439,0.6980939144994778,6
44,YEARS_BEGINEXPLUATATION_AVG,4024.071736216545,392,0.6980939144994778,6
45,YEARS_BUILD_AVG,3478.6231149435043,324,0.6980939144994778,6
46,COMMONAREA_AVG,3989.335248708725,362,0.6980939144994778,6
47,ELEVATORS_AVG,1403.74700152874,123,0.6980939144994778,6
48,ENTRANCES_AVG,2589.839330673218,230,0.6980939144994778,6
49,FLOORSMAX_AVG,1665.8737024068832,150,0.6980939144994778,6
50,FLOORSMIN_AVG,1833.4048960208893,171,0.6980939144994778,6
51,LANDAREA_AVG,5294.151393413544,478,0.6980939144994778,6
52,LIVINGAPARTMENTS_AVG,3052.7455531954765,288,0.6980939144994778,6
53,LIVINGAREA_AVG,3382.8213281035423,310,0.6980939144994778,6
54,NONLIVINGAPARTMENTS_AVG,1668.4596109390259,148,0.6980939144994778,6
55,NONLIVINGAREA_AVG,3113.517097055912,274,0.6980939144994778,6
56,APARTMENTS_MODE,3520.29990285635,308,0.6980939144994778,6
57,BASEMENTAREA_MODE,3319.788745522499,277,0.6980939144994778,6
58,YEARS_BEGINEXPLUATATION_MODE,2644.6876677274704,245,0.6980939144994778,6
59,YEARS_BUILD_MODE,2060.5279552936554,191,0.6980939144994778,6
60,COMMONAREA_MODE,3809.521502196789,339,0.6980939144994778,6
61,ELEVATORS_MODE,660.7622303962708,58,0.6980939144994778,6
62,ENTRANCES_MODE,1068.0253822803497,102,0.6980939144994778,6
63,FLOORSMAX_MODE,1111.8578324317932,95,0.6980939144994778,6
64,FLOORSMIN_MODE,863.7374197244644,77,0.6980939144994778,6
65,LANDAREA_MODE,4967.998334407806,440,0.6980939144994778,6
66,LIVINGAPARTMENTS_MODE,3046.368007183075,259,0.6980939144994778,6
67,LIVINGAREA_MODE,3496.5679116249084,307,0.6980939144994778,6
68,NONLIVINGAPARTMENTS_MODE,1151.5538681149483,113,0.6980939144994778,6
69,NONLIVINGAREA_MODE,3055.367211908102,269,0.6980939144994778,6
70,APARTMENTS_MEDI,2640.7762293815613,238,0.6980939144994778,6
71,BASEMENTAREA_MEDI,2988.3937821388245,261,0.6980939144994778,6
72,YEARS_BEGINEXPLUATATION_MEDI,1959.044236779213,191,0.6980939144994778,6
73,YEARS_BUILD_MEDI,1320.5192568302155,123,0.6980939144994778,6
74,COMMONAREA_MEDI,1986.721938610077,175,0.6980939144994778,6
75,ELEVATORS_MEDI,630.7846312522888,56,0.6980939144994778,6
76,ENTRANCES_MEDI,928.0090398788452,81,0.6980939144994778,6
77,FLOORSMAX_MEDI,675.229089975357,66,0.6980939144994778,6
78,FLOORSMIN_MEDI,560.0076675415039,54,0.6980939144994778,6
79,LANDAREA_MEDI,2395.450806260109,217,0.6980939144994778,6
80,LIVINGAPARTMENTS_MEDI,1949.2110424041748,180,0.6980939144994778,6
81,LIVINGAREA_MEDI,2328.8799809217453,211,0.6980939144994778,6
82,NONLIVINGAPARTMENTS_MEDI,898.4412758052349,85,0.6980939144994778,6
